Sample_ID,Date,Time,Temp,BG_Contr,BX_Contr,CBH_Contr,NAG_Contr,BG_Assay,BX_Assay,CBH_Assay,NAG_Assay,Standard,Quench_Contr,Homog_Contr,Blank
Log_02,Aug2016,2,26,8,11,7,15,110,33,21,139,1098,1190,4,1
Log_02,Aug2016,2,26,10,11,10,16,111,29,29,134,1067,1176,5,0
Log_02,Aug2016,2,26,10,11,8,15,91,33,24,181,1021,1253,5,0
Log_02,Aug2016,2,26,11,12,8,14,133,32,23,136,1142,1029,4,1
Log_02,Aug2016,2,26,11,12,9,15,139,37,27,169,1094,1162,5,0
Log_02,Aug2016,2,26,11,13,9,16,86,35,26,177,1128,1056,4,1
Log_02,Aug2016,2,26,12,12,8,17,121,33,40,153,1278,1120,6,0
Log_02,Aug2016,2,26,11,14,8,17,104,35,31,178,1254,1026,4,1
Log_02,Aug2016,2,1,17,9,5,12,14,14,11,15,652,99,5,0
Log_02,Aug2016,2,1,18,12,8,15,17,15,12,16,648,101,4,0
Log_02,Aug2016,2,1,18,12,8,16,18,15,13,16,668,102,6,0
Log_02,Aug2016,2,1,21,12,9,16,19,16,11,16,638,99,7,0
Log_02,Aug2016,2,1,16,12,9,19,17,14,12,18,676,101,6,1
Log_02,Aug2016,2,1,17,14,10,16,18,15,13,17,604,139,6,1
Log_02,Aug2016,2,1,18,13,9,15,18,15,13,16,553,105,6,1
Log_02,Aug2016,2,1,14,13,11,16,18,16,12,17,633,104,7,1
Log_02,Aug2016,2,28,31,9,4,13,19,12,10,14,697,71,2,0
Log_02,Aug2016,2,28,26,12,7,15,22,15,9,16,669,99,0,0
Log_02,Aug2016,2,28,18,12,9,13,23,13,10,17,666,101,5,0
Log_02,Aug2016,2,28,15,13,8,16,23,12,10,17,692,92,3,0
Log_02,Aug2016,2,28,16,12,9,13,24,14,12,17,537,99,7,1
Log_02,Aug2016,2,28,16,13,8,14,24,14,11,16,513,103,7,1
Log_02,Aug2016,2,28,23,13,10,21,20,14,11,19,668,101,6,1
Log_02,Aug2016,2,28,13,11,8,15,22,13,10,17,785,102,6,1
Log_03,Aug2016,2,26,7,9,7,15,940,31,67,95,1070,758,10,0
Log_03,Aug2016,2,26,10,9,8,15,693,34,70,116,968,855,8,0
Log_03,Aug2016,2,26,11,10,8,17,822,37,67,88,1276,999,10,0
Log_03,Aug2016,2,26,9,11,8,16,726,38,62,111,894,1090,11,0
Log_03,Aug2016,2,26,9,11,8,15,762,40,61,107,1073,901,9,0
Log_03,Aug2016,2,26,10,12,9,17,866,37,82,89,1036,1142,11,0
Log_03,Aug2016,2,26,13,12,9,17,946,36,76,150,1079,1159,11,1
Log_03,Aug2016,2,26,18,12,9,17,774,38,75,109,1109,1259,9,1
Log_05,Aug2016,2,26,8,11,8,16,25,15,11,36,1399,907,6,0
Log_05,Aug2016,2,26,10,11,8,17,24,16,14,42,1067,956,6,0
Log_05,Aug2016,2,26,11,12,9,18,28,16,13,44,1247,959,5,1
Log_05,Aug2016,2,26,11,12,10,18,26,18,13,42,1195,974,6,1
Log_05,Aug2016,2,26,11,12,10,17,28,18,14,39,1040,1050,6,1
Log_05,Aug2016,2,26,11,15,11,17,26,18,12,45,1303,960,6,0
Log_05,Aug2016,2,26,12,12,9,17,27,19,13,38,1129,733,7,1
Log_05,Aug2016,2,26,11,12,11,19,29,19,13,45,1195,916,6,0
Log_06,Aug2016,2,26,10,11,8,18,379,64,79,276,1183,967,3,0
Log_06,Aug2016,2,26,11,13,19,17,409,73,78,224,1387,1016,4,0
Log_06,Aug2016,2,26,12,12,10,20,446,65,90,373,1268,1035,3,0
Log_06,Aug2016,2,26,11,13,9,18,459,62,95,261,1190,1024,4,0
Log_06,Aug2016,2,26,13,12,11,20,523,57,83,226,1229,954,4,1
Log_06,Aug2016,2,26,13,13,11,21,497,76,118,229,1472,1197,5,0
Log_06,Aug2016,2,26,13,13,10,20,453,88,95,344,1229,1054,5,1
Log_06,Aug2016,2,26,14,14,11,20,521,74,68,271,1320,1238,3,0
Log_06,Aug2016,2,28,5,5,5,8,27,9,7,15,570,91,2,0
Log_06,Aug2016,2,28,9,9,6,11,31,9,10,18,542,89,3,0
Log_06,Aug2016,2,28,9,10,7,11,27,11,9,20,628,90,4,1
Log_06,Aug2016,2,28,10,10,7,11,39,10,10,18,590,92,4,0
Log_06,Aug2016,2,28,11,11,7,13,30,11,12,17,593,91,4,1
Log_06,Aug2016,2,28,9,10,8,11,32,11,9,18,567,90,3,1
Log_06,Aug2016,2,28,10,10,8,12,31,11,10,17,573,92,3,0
Log_06,Aug2016,2,28,9,10,8,11,38,11,9,17,589,91,4,1
Log_08,Aug2016,2,26,6,9,7,15,360,79,53,338,1185,1006,3,0
Log_08,Aug2016,2,26,10,11,8,16,397,62,48,447,1116,940,4,0
Log_08,Aug2016,2,26,9,12,9,16,387,63,36,430,1279,866,4,0
Log_08,Aug2016,2,26,11,12,9,18,443,171,65,514,962,848,3,0
