Sample_ID,Date,Time,Temp,BG_Contr,BX_Contr,CBH_Contr,NAG_Contr,BG_Assay,BX_Assay,CBH_Assay,NAG_Assay,Standard,Quench_Contr,Homog_Contr,Blank
Log_02,Jan2017,2,0,12,7,7,19,215,38,47,199,1162,1088,4,0
Log_02,Jan2017,2,0,15,9,10,20,184,37,40,227,1089,1126,6,0
Log_02,Jan2017,2,0,14,10,10,17,191,36,56,220,1214,1103,5,0
Log_02,Jan2017,2,0,15,9,9,20,211,30,49,205,1266,992,6,0
Log_02,Jan2017,2,0,16,12,10,19,202,38,37,202,1179,1155,6,1
Log_02,Jan2017,2,0,16,13,11,17,233,37,42,183,1113,1055,5,0
Log_02,Jan2017,2,0,15,12,11,19,207,38,61,206,1390,1358,5,0
Log_02,Jan2017,2,0,15,12,10,20,214,35,49,254,1350,1046,4,0
Log_02,Jan2017,2,1,17,9,6,15,169,34,31,143,476,440,5,0
Log_02,Jan2017,2,1,17,13,8,16,211,44,54,147,93,512,7,0
Log_02,Jan2017,2,1,13,12,10,17,172,44,42,146,265,450,7,2
Log_02,Jan2017,2,1,16,13,9,15,189,44,13,160,330,436,7,1
Log_02,Jan2017,2,1,15,14,9,16,192,48,40,168,410,487,8,1
Log_02,Jan2017,2,1,13,13,9,16,200,45,39,153,444,477,8,3
Log_02,Jan2017,2,1,14,14,10,17,186,42,37,192,486,522,8,2
Log_02,Jan2017,2,1,12,12,10,17,164,38,44,147,625,425,7,1
Log_02,Jan2017,2,28,6,8,4,9,466,75,111,370,541,679,5,0
Log_02,Jan2017,2,28,9,8,5,10,461,55,90,372,2424,533,4,0
Log_02,Jan2017,2,28,10,10,7,12,498,64,114,407,2905,592,5,0
Log_02,Jan2017,2,28,9,11,8,11,460,65,115,332,497,463,7,1
Log_02,Jan2017,2,28,10,10,7,11,509,67,115,385,2063,1464,6,0
Log_02,Jan2017,2,28,9,11,7,12,491,69,104,358,533,729,6,1
Log_02,Jan2017,2,28,9,10,7,11,496,75,122,359,535,1206,7,1
Log_02,Jan2017,2,28,10,11,9,12,428,67,87,407,601,690,4,1
Log_03,Jan2017,2,0,12,10,7,19,158,22,23,69,1271,925,8,0
Log_03,Jan2017,2,0,16,13,10,22,225,23,29,82,1040,1087,7,0
Log_03,Jan2017,2,0,15,13,9,20,250,24,34,70,985,1099,10,0
Log_03,Jan2017,2,0,15,15,10,20,246,23,36,81,1064,891,9,0
Log_03,Jan2017,2,0,15,13,11,19,257,25,36,78,1051,830,9,0
Log_03,Jan2017,2,0,16,14,11,22,342,29,47,85,1150,824,9,0
Log_03,Jan2017,2,0,16,14,11,22,249,28,51,90,1110,1129,12,1
Log_03,Jan2017,2,0,17,14,11,22,241,25,28,74,1318,1014,10,0
Log_05,Jan2017,2,0,13,11,9,20,28,15,11,46,1184,724,5,0
Log_05,Jan2017,2,0,16,13,9,21,32,17,12,53,1167,751,11,0
Log_05,Jan2017,2,0,15,13,11,23,35,17,12,60,1329,674,6,0
Log_05,Jan2017,2,0,17,14,11,22,41,17,13,66,1317,754,5,1
Log_05,Jan2017,2,0,17,14,12,23,36,17,14,53,1296,784,6,1
Log_05,Jan2017,2,0,17,14,11,22,41,17,14,66,1325,949,7,0
Log_05,Jan2017,2,0,15,14,11,23,37,19,13,67,1243,1010,7,0
Log_05,Jan2017,2,0,18,14,11,25,35,17,14,59,1640,797,6,0
Log_05,Jan2017,2,1,6,8,5,10,23,12,8,37,500,369,4,0
Log_05,Jan2017,2,1,9,10,7,12,30,15,10,29,493,369,4,0
Log_05,Jan2017,2,1,10,11,7,13,23,15,11,37,512,369,6,1
Log_05,Jan2017,2,1,10,11,8,12,24,15,12,37,594,344,5,0
Log_05,Jan2017,2,1,10,12,8,12,24,15,12,33,473,345,6,1
Log_05,Jan2017,2,1,10,12,6,13,24,16,12,36,507,407,6,0
Log_05,Jan2017,2,1,10,12,8,14,25,16,12,36,581,359,5,0
Log_05,Jan2017,2,1,10,11,10,13,26,15,12,32,587,416,5,0
Log_05,Jan2017,2,28,6,8,3,9,81,18,11,102,673,398,4,0
Log_05,Jan2017,2,28,8,9,5,9,17,10,7,18,100,71,3,0
Log_05,Jan2017,2,28,9,11,6,11,93,23,15,114,621,361,5,0
Log_05,Jan2017,2,28,10,10,7,11,78,21,54,93,554,412,5,0
Log_05,Jan2017,2,28,10,11,8,11,91,22,12,100,450,363,4,1
Log_05,Jan2017,2,28,10,12,6,11,85,20,19,101,502,377,5,0
Log_05,Jan2017,2,28,10,10,8,11,82,21,15,152,528,390,5,0
Log_05,Jan2017,2,28,10,11,7,12,78,23,15,100,518,415,5,1
Log_06,Jan2017,2,0,11,10,7,18,107,21,19,68,1117,873,4,0
Log_06,Jan2017,2,0,14,12,9,19,122,21,24,71,1349,828,5,1
Log_06,Jan2017,2,0,14,12,9,21,115,22,32,91,1123,831,4,0
Log_06,Jan2017,2,0,13,10,10,20,130,27,28,100,1236,739,5,0
Log_06,Jan2017,2,0,12,12,9,20,116,25,33,98,1224,771,5,1
Log_06,Jan2017,2,0,14,13,10,20,121,26,37,82,1000,785,4,1
Log_06,Jan2017,2,0,15,15,8,22,126,27,25,104,1061,866,6,1
Log_06,Jan2017,2,0,15,13,10,20,119,25,28,94,1236,691,6,0
Log_06,Jan2017,2,1,6,9,6,11,77,20,19,49,456,557,3,0
Log_06,Jan2017,2,1,11,13,8,13,83,23,19,59,582,1208,4,0
Log_06,Jan2017,2,1,11,12,8,13,87,23,21,59,527,374,4,0
Log_06,Jan2017,2,1,11,12,8,13,92,25,24,52,474,441,4,0
Log_06,Jan2017,2,1,12,12,9,12,95,22,30,63,483,419,5,0
Log_06,Jan2017,2,1,11,13,9,14,106,25,29,53,513,399,5,1
Log_06,Jan2017,2,1,11,13,9,13,101,23,25,55,503,425,5,1
Log_06,Jan2017,2,1,11,12,10,14,92,23,23,49,584,585,5,1
Log_06,Jan2017,2,28,5,7,4,8,223,33,46,183,536,344,3,0
Log_06,Jan2017,2,28,8,10,7,12,292,31,52,198,499,404,3,0
Log_06,Jan2017,2,28,9,11,8,12,234,32,61,182,461,308,3,0
