Sample_ID,Date,Time,Temp,BG_Contr,BX_Contr,CBH_Contr,NAG_Contr,BG_Assay,BX_Assay,CBH_Assay,NAG_Assay,Standard,Quench_Contr,Homog_Contr,Blank
Log_02,May2015,2,15.6,28,16,9,20,426,55,67,384,394,298,4,1
Log_02,May2015,2,15.6,29,17,10,22,323,62,115,313,389,346,4,0
Log_02,May2015,2,15.6,29,18,8,21,243,63,81,451,373,350,4,1
Log_02,May2015,2,15.6,31,18,10,21,398,70,107,527,398,326,5,1
Log_02,May2015,2,15.6,31,20,10,21,343,69,103,419,372,288,4,2
Log_02,May2015,2,15.6,30,18,10,20,422,80,88,401,379,297,6,2
Log_02,May2015,2,15.6,31,20,10,21,411,75,66,414,402,305,5,2
Log_02,May2015,2,15.6,28,19,10,20,280,52,77,420,402,303,4,1
Log_02,May2015,2,1,7,6,3,8,106,32,25,141,184,772,2,0
Log_02,May2015,2,1,10,10,5,11,138,32,36,142,180,745,3,0
Log_02,May2015,2,1,10,9,5,11,138,34,30,191,183,807,3,0
Log_02,May2015,2,1,10,11,9,11,153,42,28,203,184,722,4,0
Log_02,May2015,2,1,10,11,6,12,131,37,27,182,191,737,3,0
Log_02,May2015,2,1,11,11,7,11,104,37,30,171,181,758,4,1
Log_02,May2015,2,1,10,10,7,11,127,34,36,177,185,775,5,1
Log_02,May2015,2,1,11,11,7,11,140,35,32,177,190,772,4,1
Log_02,May2015,2,28,5,6,3,7,410,79,128,463,204,814,1,0
Log_02,May2015,2,28,8,9,5,10,643,77,143,609,205,882,2,0
Log_02,May2015,2,28,9,8,5,10,475,81,226,591,206,820,5,1
Log_02,May2015,2,28,10,9,5,9,561,85,170,641,208,879,5,0
Log_02,May2015,2,28,9,10,6,10,572,108,160,501,204,850,5,0
Log_02,May2015,2,28,10,10,6,9,515,87,104,713,205,817,5,0
Log_02,May2015,2,28,11,9,6,10,534,75,103,634,208,872,4,0
Log_02,May2015,2,28,10,9,6,11,533,84,91,638,211,908,4,1
Log_03,May2015,2,15.6,27,17,11,19,342,32,34,160,347,378,8,1
Log_03,May2015,2,15.6,32,17,12,20,515,32,43,118,460,344,7,1
Log_03,May2015,2,15.6,30,20,11,22,582,35,65,175,366,318,9,2
Log_03,May2015,2,15.6,28,18,12,19,602,37,62,171,378,350,11,1
Log_03,May2015,2,15.6,27,18,12,24,437,35,55,194,350,397,10,1
Log_03,May2015,2,15.6,32,20,12,23,463,31,50,180,348,417,9,0
Log_03,May2015,2,15.6,30,20,12,23,284,34,57,184,396,367,9,2
Log_03,May2015,2,15.6,30,20,13,20,295,32,48,144,345,398,8,2
Log_03,May2015,2,1,6,7,3,7,138,19,22,72,187,884,8,0
Log_03,May2015,2,1,10,10,6,10,180,30,24,74,178,748,7,0
Log_03,May2015,2,1,10,9,6,10,182,22,29,91,187,862,9,1
Log_03,May2015,2,1,10,10,6,11,230,26,30,92,185,756,9,0
Log_03,May2015,2,1,11,10,7,11,240,25,34,90,182,765,9,0
Log_03,May2015,2,1,10,10,5,11,207,23,29,86,173,815,9,1
Log_03,May2015,2,1,10,10,6,10,178,25,29,69,176,827,8,1
Log_03,May2015,2,1,9,10,5,10,155,27,28,82,183,947,6,1
Log_03,May2015,2,28,5,5,1,8,430,35,78,131,198,727,8,0
Log_03,May2015,2,28,9,8,4,10,541,31,72,166,198,782,9,0
Log_03,May2015,2,28,8,9,5,10,445,37,79,145,202,880,10,0
Log_03,May2015,2,28,9,8,5,10,470,31,81,141,188,944,9,0
Log_03,May2015,2,28,9,9,6,9,442,31,88,175,193,754,10,0
Log_03,May2015,2,28,10,9,6,10,422,33,71,152,194,787,9,1
Log_03,May2015,2,28,10,9,5,10,405,39,61,114,186,1023,10,0
Log_03,May2015,2,28,9,9,7,11,544,41,54,113,197,980,9,0
Log_05,May2015,2,15.6,31,18,9,23,46,27,18,37,464,270,9,0
Log_05,May2015,2,15.6,31,18,12,22,48,29,21,38,370,253,8,0
Log_05,May2015,2,15.6,31,23,11,22,53,28,19,37,419,294,11,2
Log_05,May2015,2,15.6,24,20,13,23,51,30,18,32,419,293,11,1
Log_05,May2015,2,15.6,24,22,12,20,50,29,20,35,381,263,10,2
Log_05,May2015,2,15.6,29,21,12,21,54,29,19,40,392,249,10,2
Log_05,May2015,2,15.6,33,20,11,22,58,29,17,34,417,286,9,2
Log_05,May2015,2,15.6,34,19,11,23,47,30,18,36,456,299,9,2
Log_05,May2015,2,1,6,7,3,8,13,12,10,14,182,151,5,0
Log_05,May2015,2,1,10,11,6,10,16,15,11,16,183,151,7,0
Log_05,May2015,2,1,11,11,6,12,15,16,11,17,186,150,5,0
Log_05,May2015,2,1,11,11,6,11,15,15,12,16,185,153,8,0
Log_05,May2015,2,1,10,11,7,11,16,15,13,16,186,147,7,1
Log_05,May2015,2,1,10,10,6,12,17,14,13,16,186,150,8,0
Log_05,May2015,2,1,10,11,6,12,17,15,13,15,176,154,8,0
Log_05,May2015,2,1,12,10,6,11,15,15,11,15,183,153,7,1
Log_05,May2015,2,28,6,5,1,5,12,12,8,13,192,148,6,0
Log_05,May2015,2,28,7,7,2,7,13,13,11,14,168,143,6,0
Log_05,May2015,2,28,8,8,3,8,13,13,10,13,178,150,6,0
Log_05,May2015,2,28,9,6,4,8,15,13,10,14,171,148,7,0
Log_05,May2015,2,28,7,7,3,8,14,15,11,14,172,148,7,0
Log_05,May2015,2,28,9,8,4,9,15,14,11,15,170,151,6,1
Log_05,May2015,2,28,8,8,4,9,16,13,11,14,174,150,7,0
Log_05,May2015,2,28,8,9,5,10,15,13,11,14,185,151,7,2
Log_06,May2015,2,15.6,30,17,9,17,289,40,86,125,338,603,5,0
Log_06,May2015,2,15.6,32,21,11,21,350,46,111,130,383,547,6,0
Log_06,May2015,2,15.6,30,19,10,20,317,51,131,145,381,565,6,1
Log_06,May2015,2,15.6,30,19,11,23,358,46,102,128,450,473,5,1
Log_06,May2015,2,15.6,33,21,12,20,395,45,138,111,376,575,6,1
Log_06,May2015,2,15.6,32,20,11,21,312,46,107,143,353,570,6,1
Log_06,May2015,2,15.6,33,22,12,22,406,46,115,183,364,623,10,1
Log_06,May2015,2,15.6,35,20,12,19,385,37,97,157,446,542,6,2
Log_06,May2015,2,1,8,8,3,8,14,11,8,14,213,156,3,0
Log_06,May2015,2,1,11,10,7,11,18,13,10,17,216,153,4,0
Log_06,May2015,2,1,10,10,6,12,18,14,10,17,215,154,5,1
Log_06,May2015,2,1,11,11,6,11,19,14,10,16,213,158,5,0
Log_06,May2015,2,1,12,10,8,11,19,14,12,18,211,160,5,0
Log_06,May2015,2,1,12,11,6,12,20,13,11,15,211,156,4,0
Log_06,May2015,2,1,10,11,7,12,18,14,10,16,206,153,4,1
Log_06,May2015,2,1,11,11,7,12,17,13,10,15,213,158,5,0
Log_06,May2015,2,28,6,6,3,7,21,10,8,18,179,150,2,0
Log_06,May2015,2,28,10,9,5,10,21,10,8,17,164,150,3,0
Log_06,May2015,2,28,9,9,5,10,21,11,9,18,188,150,4,0
Log_06,May2015,2,28,10,10,6,10,20,11,10,19,183,151,3,0
Log_06,May2015,2,28,11,10,6,10,25,11,10,18,187,150,4,1
Log_06,May2015,2,28,10,10,6,11,20,12,10,17,188,151,3,1
Log_06,May2015,2,28,10,10,6,9,22,11,9,18,185,152,4,1
Log_06,May2015,2,28,10,10,7,10,23,12,11,18,181,150,4,1
Log_08,May2015,2,15.6,31,17,10,21,160,49,37,249,381,355,7,0
Log_08,May2015,2,15.6,30,17,10,21,182,45,43,442,335,344,6,1
Log_08,May2015,2,15.6,29,18,10,19,119,48,51,437,470,403,8,1
Log_08,May2015,2,15.6,31,17,11,22,138,49,64,428,350,355,8,1
Log_08,May2015,2,15.6,33,17,11,23,136,41,52,312,332,391,7,1
Log_08,May2015,2,15.6,34,21,12,22,209,48,50,319,392,366,10,2
Log_08,May2015,2,15.6,34,18,11,24,171,45,67,244,509,328,7,2
Log_08,May2015,2,15.6,33,19,11,21,113,40,24,317,361,384,7,2
Log_08,May2015,2,1,8,8,4,10,20,14,11,20,202,163,6,0
Log_08,May2015,2,1,11,10,6,12,23,17,13,25,194,160,8,0
Log_08,May2015,2,1,11,10,6,12,23,18,15,24,196,160,9,0
Log_08,May2015,2,1,13,11,7,13,23,18,15,25,199,162,9,0
Log_08,May2015,2,1,12,12,7,12,26,18,16,25,177,162,8,1
Log_08,May2015,2,1,12,11,6,13,24,17,13,22,192,163,8,0
Log_08,May2015,2,1,11,10,6,12,24,17,14,21,190,171,8,1
Log_08,May2015,2,1,11,10,8,12,34,17,14,23,200,162,8,1
Log_08,May2015,2,28,5,5,2,6,33,13,11,23,156,138,5,0
Log_08,May2015,2,28,9,8,6,8,34,14,12,27,175,143,5,0
Log_08,May2015,2,28,8,9,4,9,36,14,16,26,186,148,6,0
Log_08,May2015,2,28,10,9,5,9,37,16,15,24,184,151,6,0
Log_08,May2015,2,28,9,9,5,10,36,16,15,30,187,153,6,3
Log_08,May2015,2,28,7,12,6,9,35,16,15,28,179,152,6,1
Log_08,May2015,2,28,6,9,6,9,42,16,17,28,190,158,8,0
Log_08,May2015,2,28,6,7,5,8,37,14,13,27,182,157,6,1
Log_09,May2015,2,15.6,29,18,9,26,614,77,55,321,421,370,5,1
Log_09,May2015,2,15.6,36,22,13,30,550,60,110,373,405,370,4,1
Log_09,May2015,2,15.6,30,18,11,25,555,76,115,317,351,381,5,1
Log_09,May2015,2,15.6,32,20,11,30,602,63,92,386,362,401,7,1
Log_09,May2015,2,15.6,34,19,11,29,672,74,50,348,341,361,5,1
Log_09,May2015,2,15.6,29,21,12,27,537,57,70,334,471,382,7,2
Log_09,May2015,2,15.6,27,18,10,27,786,68,82,346,423,401,7,1
Log_09,May2015,2,15.6,27,21,10,26,472,65,73,278,407,359,5,1
Log_09,May2015,2,1,6,7,3,8,230,31,31,107,191,729,4,0
Log_09,May2015,2,1,10,10,6,11,202,41,43,122,183,791,4,0
Log_09,May2015,2,1,7,10,6,12,225,39,38,127,186,878,6,0
Log_09,May2015,2,1,10,10,7,10,197,40,45,137,188,817,5,0
Log_09,May2015,2,1,11,10,6,12,226,37,35,131,184,765,5,0
Log_09,May2015,2,1,12,11,7,11,241,39,30,134,187,815,7,0
Log_09,May2015,2,1,11,11,8,12,274,38,41,113,186,796,7,0
Log_09,May2015,2,1,10,10,6,11,206,37,35,119,192,811,6,1
Log_09,May2015,2,28,6,5,2,7,659,79,120,400,191,875,4,0
Log_09,May2015,2,28,9,8,4,8,639,88,171,393,192,861,4,0
Log_09,May2015,2,28,8,9,5,9,688,83,173,295,193,924,5,1
Log_09,May2015,2,28,10,8,6,9,593,86,157,380,194,822,5,0
Log_09,May2015,2,28,10,9,6,11,719,75,127,390,195,926,4,0
Log_09,May2015,2,28,10,9,5,10,789,86,149,397,191,1273,5,1
Log_09,May2015,2,28,9,9,6,10,686,85,119,359,191,822,6,0
Log_09,May2015,2,28,9,9,5,10,567,100,142,365,199,924,5,1
Log_10,May2015,2,15.6,27,16,10,22,2060,233,315,328,413,222,24,1
Log_10,May2015,2,15.6,36,17,8,22,1414,208,585,393,351,319,29,0
Log_10,May2015,2,15.6,32,18,12,25,1492,231,452,456,356,243,28,2
Log_10,May2015,2,15.6,34,18,10,33,1783,241,508,391,333,221,27,1
Log_10,May2015,2,15.6,31,19,10,25,1723,221,289,380,380,244,27,1
