Sample_ID,Date,Time,Temp,BG_Contr,BX_Contr,CBH_Contr,NAG_Contr,BG_Assay,BX_Assay,CBH_Assay,NAG_Assay,Standard,Quench_Contr,Homog_Contr,Blank
Log_02,Sep2014,2,1,13,9,8,16,128,30,54,117,817,876,5,0
Log_02,Sep2014,2,1,14,10,9,18,146,31,55,134,814,921,6,0
Log_02,Sep2014,2,1,15,11,9,18,190,34,40,119,763,885,10,0
Log_02,Sep2014,2,1,14,11,9,20,170,42,62,137,1169,870,10,1
Log_02,Sep2014,2,1,17,13,10,18,179,45,64,133,1034,836,7,0
Log_02,Sep2014,2,1,16,11,10,19,141,39,55,152,950,963,8,0
Log_02,Sep2014,2,1,15,11,11,22,175,39,44,155,980,1001,8,1
Log_02,Sep2014,2,1,14,11,9,20,126,36,37,132,1039,947,35,2
Log_02,Sep2014,2,28,11,8,7,17,614,110,143,435,1045,1003,3,0
Log_02,Sep2014,2,28,13,10,8,16,649,110,207,426,1113,1053,5,0
Log_02,Sep2014,2,28,13,9,8,20,533,110,189,447,1068,987,6,0
Log_02,Sep2014,2,28,14,10,10,17,619,103,199,429,927,1047,5,0
Log_02,Sep2014,2,28,13,10,10,17,621,91,236,471,1007,929,6,0
Log_02,Sep2014,2,28,14,11,10,20,718,96,216,514,1040,987,7,1
Log_02,Sep2014,2,28,14,10,9,18,610,111,136,518,1252,1000,6,1
Log_02,Sep2014,2,28,14,11,10,18,590,96,177,477,921,1062,6,0
Log_03,Sep2014,2,1,12,9,7,19,319,27,35,158,1151,718,11,0
Log_03,Sep2014,2,1,17,12,8,19,473,29,38,280,1159,615,11,0
Log_03,Sep2014,2,1,15,12,10,19,364,27,49,210,1181,735,12,0
Log_03,Sep2014,2,1,17,12,10,21,334,31,46,242,1159,673,12,0
Log_03,Sep2014,2,1,16,12,10,21,326,29,52,214,1104,686,14,1
Log_03,Sep2014,2,1,17,12,10,21,324,25,39,206,1077,720,11,2
Log_03,Sep2014,2,1,15,13,10,20,350,31,47,175,1202,754,12,2
Log_03,Sep2014,2,1,15,11,10,21,316,29,47,191,912,764,13,1
Log_03,Sep2014,2,28,12,8,7,8,970,43,166,522,1129,880,9,0
Log_03,Sep2014,2,28,14,11,9,18,1093,45,168,367,1271,815,11,0
Log_03,Sep2014,2,28,14,11,10,19,891,40,169,365,1235,801,11,0
Log_03,Sep2014,2,28,16,11,9,19,1185,42,163,534,1396,894,12,1
Log_03,Sep2014,2,28,15,11,9,20,1080,56,138,389,1455,775,12,1
Log_03,Sep2014,2,28,30,10,11,20,733,66,157,470,1375,746,13,1
Log_03,Sep2014,2,28,15,12,11,20,1130,65,186,508,1348,827,10,0
Log_03,Sep2014,2,28,16,10,9,19,1158,49,156,465,1556,725,10,1
Log_04,Sep2014,2,1,10,9,6,16,310,64,51,151,960,745,3,0
Log_04,Sep2014,2,1,13,10,9,19,357,66,60,156,948,729,4,0
Log_04,Sep2014,2,1,14,10,8,21,423,71,132,162,1021,724,5,0
Log_04,Sep2014,2,1,15,11,10,21,390,78,55,191,1018,731,5,1
Log_04,Sep2014,2,1,15,11,9,20,353,77,69,172,1007,744,6,0
Log_04,Sep2014,2,1,14,12,10,20,389,73,51,189,1008,767,6,1
Log_04,Sep2014,2,1,15,11,9,21,297,68,62,160,904,719,6,2
Log_04,Sep2014,2,1,15,12,10,21,331,61,37,161,960,753,5,1
Log_04,Sep2014,2,28,11,7,7,18,992,194,270,509,1304,764,3,0
Log_04,Sep2014,2,28,14,10,9,19,1540,199,237,508,1413,930,4,0
Log_04,Sep2014,2,28,14,10,9,20,1315,201,220,421,1467,869,5,1
Log_04,Sep2014,2,28,15,11,9,21,1092,171,301,361,1424,932,5,0
Log_04,Sep2014,2,28,14,11,9,21,1060,184,226,451,1350,855,5,1
Log_04,Sep2014,2,28,15,10,10,21,1092,205,220,437,1349,852,5,0
Log_04,Sep2014,2,28,13,11,10,21,1192,197,268,443,1280,865,5,1
Log_04,Sep2014,2,28,15,10,10,22,1074,183,250,385,1297,757,5,1
Log_05,Sep2014,2,1,13,10,8,19,712,69,130,261,1231,735,28,0
Log_05,Sep2014,2,1,17,12,9,19,606,79,154,295,1205,751,27,0
Log_05,Sep2014,2,1,14,12,10,21,925,81,170,376,1167,743,37,0
Log_05,Sep2014,2,1,15,12,10,20,840,86,178,360,1176,839,27,0
Log_05,Sep2014,2,1,16,12,10,21,657,89,226,326,1174,728,30,1
Log_05,Sep2014,2,1,16,12,11,21,668,77,174,304,1197,744,28,1
Log_05,Sep2014,2,1,17,12,9,21,697,75,166,341,1129,741,26,1
Log_05,Sep2014,2,1,15,11,11,20,713,74,135,284,1134,703,33,1
Log_05,Sep2014,2,28,10,8,7,15,1632,199,512,817,1118,670,21,0
Log_05,Sep2014,2,28,14,10,8,19,1832,149,436,578,1257,814,33,0
Log_05,Sep2014,2,28,13,9,8,21,1715,185,452,1005,1301,649,30,1
Log_05,Sep2014,2,28,15,11,9,20,1830,187,515,741,1352,749,36,0
Log_05,Sep2014,2,28,13,11,10,21,1826,223,503,924,1013,819,24,1
Log_05,Sep2014,2,28,14,11,10,20,1519,183,480,671,1178,720,30,1
Log_05,Sep2014,2,28,14,11,10,19,1606,192,523,825,972,809,26,1
Log_05,Sep2014,2,28,14,10,10,18,1701,183,515,719,1054,678,32,0
Log_06,Sep2014,2,1,12,9,7,20,93,20,25,50,921,846,3,0
Log_06,Sep2014,2,1,16,10,9,19,85,21,23,57,910,828,3,0
Log_06,Sep2014,2,1,15,10,10,20,113,24,29,58,910,822,5,0
Log_06,Sep2014,2,1,15,11,10,20,109,25,30,68,980,798,8,0
Log_06,Sep2014,2,1,16,11,9,19,93,25,30,66,992,888,5,0
Log_06,Sep2014,2,1,16,12,9,19,94,23,27,62,949,873,4,0
Log_06,Sep2014,2,1,15,11,10,19,115,22,31,62,1007,722,6,1
Log_06,Sep2014,2,1,14,10,9,20,76,23,21,64,1023,935,4,1
Log_06,Sep2014,2,28,11,7,6,17,291,40,119,196,1271,896,2,0
Log_06,Sep2014,2,28,14,9,8,19,303,39,72,182,1055,880,4,0
Log_06,Sep2014,2,28,12,10,9,20,331,37,93,188,1219,995,4,0
Log_06,Sep2014,2,28,14,11,10,20,245,35,87,173,1150,934,4,1
Log_06,Sep2014,2,28,13,11,10,19,245,37,74,161,1120,990,3,1
Log_06,Sep2014,2,28,15,11,10,19,265,36,82,185,1211,999,4,1
Log_06,Sep2014,2,28,15,11,9,22,270,42,80,227,1202,997,4,1
Log_06,Sep2014,2,28,14,11,10,19,288,47,68,177,1163,1054,4,0
Log_08,Sep2014,2,1,12,10,8,17,118,29,29,136,1154,733,4,0
Log_08,Sep2014,2,1,15,11,9,18,139,28,38,143,1079,789,6,0
Log_08,Sep2014,2,1,16,12,8,20,167,35,28,160,1160,810,7,1
Log_08,Sep2014,2,1,15,12,9,21,140,30,42,133,1157,748,7,0
Log_08,Sep2014,2,1,16,13,10,20,153,29,37,188,1025,699,8,1
Log_08,Sep2014,2,1,16,12,10,22,155,34,31,140,1114,789,7,0
Log_08,Sep2014,2,1,16,12,10,22,121,29,41,122,1066,835,29,1
Log_08,Sep2014,2,1,16,12,10,22,161,34,58,105,1125,839,8,1
Log_08,Sep2014,2,28,10,8,8,17,506,67,84,329,1120,928,3,0
Log_08,Sep2014,2,28,14,10,8,19,492,63,219,368,1177,790,4,0
Log_08,Sep2014,2,28,13,10,10,18,515,71,123,366,1205,921,5,1
Log_08,Sep2014,2,28,14,11,9,19,485,78,148,483,1163,889,5,0
Log_08,Sep2014,2,28,15,10,9,20,543,61,157,372,1106,930,7,1
Log_08,Sep2014,2,28,14,11,9,21,604,63,155,383,1086,921,5,1
Log_08,Sep2014,2,28,14,11,10,20,426,49,125,389,1192,855,6,1
Log_08,Sep2014,2,28,16,11,10,19,392,66,90,407,1192,870,6,0
Log_09,Sep2014,2,1,10,8,7,15,150,46,65,183,919,750,3,0
Log_09,Sep2014,2,1,14,10,7,17,162,53,46,188,987,838,5,0
Log_09,Sep2014,2,1,19,11,9,19,220,53,84,196,946,910,6,0
Log_09,Sep2014,2,1,14,11,10,17,219,49,98,216,992,858,5,0
Log_09,Sep2014,2,1,15,12,9,18,190,52,60,217,971,928,6,1
Log_09,Sep2014,2,1,15,11,9,18,257,59,85,176,907,958,5,1
Log_09,Sep2014,2,1,13,11,9,18,177,49,59,172,943,868,4,1
Log_09,Sep2014,2,1,14,10,10,19,180,48,65,154,1054,920,6,1
Log_09,Sep2014,2,28,12,9,7,17,630,122,277,508,1225,912,3,0
Log_09,Sep2014,2,28,16,10,9,16,710,113,167,482,1153,1031,4,0
Log_09,Sep2014,2,28,14,9,9,19,637,101,202,432,1391,925,3,1
Log_09,Sep2014,2,28,16,11,10,21,654,105,250,489,1249,1109,4,0
Log_09,Sep2014,2,28,16,12,10,20,616,97,225,489,1279,1094,6,0
Log_09,Sep2014,2,28,16,11,10,18,673,99,296,507,1396,1090,4,0
Log_09,Sep2014,2,28,16,10,10,15,599,99,243,484,1411,1107,5,0
Log_09,Sep2014,2,28,15,11,8,21,486,110,134,355,1283,1135,5,1
Log_10,Sep2014,2,1,12,9,7,17,343,45,38,113,882,644,8,0
Log_10,Sep2014,2,1,16,10,9,19,319,52,40,111,1024,733,9,0
Log_10,Sep2014,2,1,14,11,9,19,347,48,46,144,929,715,9,0
Log_10,Sep2014,2,1,14,11,9,20,425,49,51,156,886,675,9,0
Log_10,Sep2014,2,1,15,12,10,19,365,45,47,147,999,672,10,1
Log_10,Sep2014,2,1,15,12,10,19,343,47,43,135,1006,687,11,0
Log_10,Sep2014,2,1,16,12,11,20,397,40,44,127,876,743,12,1
Log_10,Sep2014,2,1,16,12,10,19,360,38,43,129,1015,760,8,1
Log_10,Sep2014,2,28,11,8,6,15,868,102,164,256,1228,788,8,0
Log_10,Sep2014,2,28,13,10,8,16,924,101,149,262,1239,736,10,0
Log_10,Sep2014,2,28,13,10,7,18,922,98,172,257,1075,822,10,0
Log_10,Sep2014,2,28,14,10,10,17,946,86,164,256,1190,847,10,0
Log_10,Sep2014,2,28,14,9,9,18,944,110,168,273,1144,829,9,1
Log_10,Sep2014,2,28,16,10,8,17,1067,104,122,318,992,850,10,0
Log_10,Sep2014,2,28,20,10,9,18,957,101,155,247,1001,834,9,0
Log_10,Sep2014,2,28,13,10,9,20,1103,102,142,306,1115,816,7,1
Log_01,Sep2014,2,26.7,14,3,1,5,648,155,134,525,257,173,0,0
Log_01,Sep2014,2,26.7,21,6,4,5,882,178,114,574,256,188,0,0
Log_01,Sep2014,2,26.7,22,6,1,7,1077,186,200,353,304,181,0,0
Log_01,Sep2014,2,26.7,24,6,6,9,665,181,143,491,271,201,1,0
Log_01,Sep2014,2,26.7,34,9,3,8,799,180,136,510,298,246,3,1
Log_01,Sep2014,2,26.7,32,6,4,7,976,170,225,330,252,215,1,0
Log_01,Sep2014,2,26.7,22,4,6,9,979,161,188,348,288,211,3,0
Log_01,Sep2014,2,26.7,27,7,4,8,814,130,140,548,343,193,2,0
Log_02,Sep2014,2,26.7,17,0,0,3,236,42,33,244,282,199,0,0
Log_02,Sep2014,2,26.7,21,5,3,8,262,39,35,222,227,229,0,0
Log_02,Sep2014,2,26.7,20,5,3,8,645,38,323,289,264,233,1,0
Log_02,Sep2014,2,26.7,20,4,4,10,333,45,50,338,189,230,0,0
Log_02,Sep2014,2,26.7,23,7,5,8,221,34,85,225,264,252,0,0
Log_02,Sep2014,2,26.7,28,7,4,9,508,57,62,345,261,186,2,0
Log_02,Sep2014,2,26.7,21,7,4,7,444,65,150,274,262,253,1,0
Log_02,Sep2014,2,26.7,30,6,4,8,299,53,122,304,223,199,1,0
Log_03,Sep2014,2,26.7,16,1,0,5,1075,36,164,534,246,190,2,0
Log_03,Sep2014,2,26.7,23,6,4,5,1215,37,189,588,197,210,3,0
Log_03,Sep2014,2,26.7,26,6,4,4,976,34,174,483,217,199,5,0
